,sample,date.sampled,date.measured,absorbance.1,absorbance.2,species,temp,rep,notes,error_code,evap_volume,evap_relevant
730,2001-03-03,2017-05-16,2017-07-06,0.036,0.034,1,3,3,,,,
742,2001-03-04,2017-05-16,2017-07-06,0.041,0.042,1,3,4,,,,
754,2001-03-05,2017-05-16,2017-07-06,0.022,0.021,1,3,5,,,,
707,2002-03-01,2017-05-16,2017-07-06,0.05,0.044,2,3,1,,,,
719,2002-03-02,2017-05-16,2017-07-06,0.04,0.04,2,3,2,,,,
731,2002-03-03,2017-05-16,2017-07-06,0.045,0.047,2,3,3,,,,
743,2002-03-04,2017-05-16,2017-07-06,0.047,0.047,2,3,4,,,,
755,2002-03-05,2017-05-16,2017-07-06,0.039,0.039,2,3,5,,,,
708,2001-10-01,2017-05-16,2017-07-06,0.024,0.025,1,10,1,,,,
720,2001-10-02,2017-05-16,2017-07-06,0.028,0.031,1,10,2,,,,
732,2001-10-03,2017-05-16,2017-07-06,0.019,0.024,1,10,3,,,,
744,2001-10-04,2017-05-16,2017-07-06,0.014,0.013,1,10,4,,,,
756,2001-10-05,2017-05-16,2017-07-06,0.023,0.024,1,10,5,,,,
709,2002-10-01,2017-05-16,2017-07-06,0.024,0.02,2,10,1,,,,
721,2002-10-02,2017-05-16,2017-07-06,0.015,0.014,2,10,2,,,,
733,2002-10-03,2017-05-16,2017-07-06,0.075,0.069,2,10,3,,vis_outlier,,
745,2002-10-04,2017-05-16,2017-07-06,0.016,0.014,2,10,4,contaminated,contaminated,,
757,2002-10-05,2017-05-16,2017-07-06,0.029,0.031,2,10,5,,,,
710,1-17-1,2017-05-16,2017-07-06,0.013,0.019,1,17,1,,,,
722,1-17-2,2017-05-16,2017-07-06,0.023,0.022,1,17,2,,,,
734,1-17-3,2017-05-16,2017-07-06,0.028,0.029,1,17,3,,,,
746,1-17-4,2017-05-16,2017-07-06,0.023,0.024,1,17,4,0.65ml,low_vol,,
758,1-17-5,2017-05-16,2017-07-06,0.022,0.022,1,17,5,,,,
711,2-17-1,2017-05-16,2017-07-06,0.018,0.014,2,17,1,,,,
723,2-17-2,2017-05-16,2017-07-06,0.026,0.026,2,17,2,,,,
735,2-17-3,2017-05-16,2017-07-06,0.024,0.024,2,17,3,,,,
747,2-17-4,2017-05-16,2017-07-06,0.044,0.044,2,17,4,,,,
759,2-17-5,2017-05-16,2017-07-06,0.049,0.048,2,17,5,0.6ml,low_vol,,
712,1-24-1,2017-05-16,2017-07-06,0.033,0.032,1,24,1,,,,evap
724,1-24-2,2017-05-16,2017-07-06,0.06,0.06,1,24,2,,,,evap
736,1-24-3,2017-05-16,2017-07-06,NA,NA,1,24,3,"double acid, dicscard",,,evap
748,1-24-4,2017-05-16,2017-07-06,0.026,0.026,1,24,4,,,,evap
760,1-24-5,2017-05-16,2017-07-06,0.019,0.019,1,24,5,,,,evap
713,2-24-1,2017-05-16,2017-07-06,0.028,0.026,2,24,1,,,,evap
725,2-24-2,2017-05-16,2017-07-06,0.03,0.032,2,24,2,,,,evap
737,2-24-3,2017-05-16,2017-07-06,0.014,0.014,2,24,3,,,,evap
749,2-24-4,2017-05-16,2017-07-06,0.019,0.02,2,24,4,0.550ml,low_vol,,evap
761,2-24-5,2017-05-16,2017-07-06,0.024,0.025,2,24,5,,,,evap
714,1-31-1,2017-05-16,2017-07-06,0.032,0.036,1,31,1,,,,evap
726,1-31-2,2017-05-16,2017-07-06,0.011,0.01,1,31,2,,vis_outlier,,evap
738,1-31-3,2017-05-16,2017-07-06,0.046,0.043,1,31,3,,,,evap
750,1-31-4,2017-05-16,2017-07-06,0.048,0.048,1,31,4,,,,evap
762,1-31-5,2017-05-16,2017-07-06,0.04,0.041,1,31,5,,,,evap
715,2-31-1,2017-05-16,2017-07-06,0.025,0.025,2,31,1,,,,evap
727,2-31-2,2017-05-16,2017-07-06,0.035,0.034,2,31,2,,,,evap
739,2-31-3,2017-05-16,2017-07-06,0.035,0.037,2,31,3,,,,evap
751,2-31-4,2017-05-16,2017-07-06,0.05,0.05,2,31,4,,,,evap
763,2-31-5,2017-05-16,2017-07-06,0.035,0.034,2,31,5,,,,evap
716,1-38-1,2017-05-16,2017-07-06,0.024,0.028,1,38,1,,,,evap
728,1-38-2,2017-05-16,2017-07-06,0.034,0.035,1,38,2,,,,evap
740,1-38-3,2017-05-16,2017-07-06,0.022,0.024,1,38,3,,,,evap
752,1-38-4,2017-05-16,2017-07-06,0.037,0.037,1,38,4,,,,evap
764,1-38-5,2017-05-16,2017-07-06,0.007,0.006,1,38,5,0.6ml,low_vol,,evap
717,2-38-1,2017-05-16,2017-07-06,0.017,0.017,2,38,1,,,,evap
729,2-38-2,2017-05-16,2017-07-06,0.026,0.024,2,38,2,,,,evap
741,2-38-3,2017-05-16,2017-07-06,0.034,0.032,2,38,3,,,,evap
753,2-38-4,2017-05-16,2017-07-06,0.031,0.031,2,38,4,,,,evap
765,2-38-5,2017-05-16,2017-07-06,0.024,0.025,2,38,5,,,,evap
767,2003-03-01,2017-05-19,2017-07-07,0.039,0.039,3,3,1,,,,
779,2003-03-02,2017-05-19,2017-07-07,0.05,0.048,3,3,2,,,,
791,2003-03-03,2017-05-19,2017-07-07,0.048,0.049,3,3,3,,,,
803,2003-03-04,2017-05-19,2017-07-07,0.046,0.048,3,3,4,,,,
815,2003-03-05,2017-05-19,2017-07-07,0.041,0.044,3,3,5,,,,
768,2004-03-01,2017-05-19,2017-07-07,0.023,0.023,4,3,1,,,,
780,2004-03-02,2017-05-19,2017-07-07,0.022,0.021,4,3,2,,,,
792,2004-03-03,2017-05-19,2017-07-07,0.023,0.021,4,3,3,,,,
804,2004-03-04,2017-05-19,2017-07-07,0.019,0.018,4,3,4,,,,
816,2004-03-05,2017-05-19,2017-07-07,0.015,0.015,4,3,5,,,,
769,2003-10-01,2017-05-19,2017-07-07,0.024,0.025,3,10,1,,,,
781,2003-10-02,2017-05-19,2017-07-07,0.019,0.018,3,10,2,,,,
793,2003-10-03,2017-05-19,2017-07-07,0.023,0.024,3,10,3,,,,
805,2003-10-04,2017-05-19,2017-07-07,0.026,0.024,3,10,4,,,,
817,2003-10-05,2017-05-19,2017-07-07,0.016,0.017,3,10,5,,,,
770,2004-10-01,2017-05-19,2017-07-07,0.033,0.032,4,10,1,,,,
782,2004-10-02,2017-05-19,2017-07-07,0.067,0.068,4,10,2,"low vol, filter leaked when plunged",remove_filter_error,,
794,2004-10-03,2017-05-19,2017-07-07,0.033,0.034,4,10,3,,,,
806,2004-10-04,2017-05-19,2017-07-07,0.018,0.021,4,10,4,,,,
818,2004-10-05,2017-05-19,2017-07-07,0.018,0.017,4,10,5,,,,
771,3-17-1,2017-05-19,2017-07-07,0.017,0.016,3,17,1,,,,
783,3-17-2,2017-05-19,2017-07-07,0.02,0.02,3,17,2,,,,
795,3-17-3,2017-05-19,2017-07-07,0.125,0.127,3,17,3,,vis_outlier,,
807,3-17-4,2017-05-19,2017-07-07,0.018,0.018,3,17,4,,,,
819,3-17-5,2017-05-19,2017-07-07,0.016,0.017,3,17,5,,,,
772,4-17-1,2017-05-19,2017-07-07,0.031,0.032,4,17,1,,,,
784,4-17-2,2017-05-19,2017-07-07,0.015,0.015,4,17,2,,,,
796,4-17-3,2017-05-19,2017-07-07,0.021,0.021,4,17,3,,,,
808,4-17-4,2017-05-19,2017-07-07,0,0,4,17,4,,,,
820,4-17-5,2017-05-19,2017-07-07,0.018,0.018,4,17,5,low vol,low_vol,,
773,3-24-1,2017-05-19,2017-07-07,0.031,0.032,3,24,1,"low vol, filter landed face down on counter",low_vol,,evap
785,3-24-2,2017-05-19,2017-07-07,0.035,0.035,3,24,2,"low vol, filter off",filter_error,,evap
797,3-24-3,2017-05-19,2017-07-07,0.038,0.037,3,24,3,,,,evap
809,3-24-4,2017-05-19,2017-07-07,0.04,0.042,3,24,4,,,,evap
821,3-24-5,2017-05-19,2017-07-07,NA,NA,3,24,5,"jenn combined and discarded, filter landed face down on counter",,,evap
774,4-24-1,2017-05-19,2017-07-07,0.024,0.024,4,24,1,,,,evap
786,4-24-2,2017-05-19,2017-07-07,0.037,0.038,4,24,2,,,,evap
798,4-24-3,2017-05-19,2017-07-07,0.021,0.021,4,24,3,,,,evap
810,4-24-4,2017-05-19,2017-07-07,0.016,0.015,4,24,4,,,,evap
822,4-24-5,2017-05-19,2017-07-07,NA,NA,4,24,5,jenn combined and discarded,,,evap
775,3-31-1,2017-05-19,2017-07-07,0.024,0.023,3,31,1,,,,evap
787,3-31-2,2017-05-19,2017-07-07,0.016,0.017,3,31,2,low vol,low_vol,,evap
799,3-31-3,2017-05-19,2017-07-07,0.016,0.015,3,31,3,,,,evap
811,3-31-4,2017-05-19,2017-07-07,0.021,0.023,3,31,4,,,,evap
823,3-31-5,2017-05-19,2017-07-07,0.024,0.024,3,31,5,did not get visual on filter,,,evap
776,4-31-1,2017-05-19,2017-07-07,0.021,0.02,4,31,1,,,,evap
788,4-31-2,2017-05-19,2017-07-07,0.027,0.025,4,31,2,,,,evap
800,4-31-3,2017-05-19,2017-07-07,0.02,0.02,4,31,3,,,,evap
812,4-31-4,2017-05-19,2017-07-07,0.022,0.021,4,31,4,,,,evap
824,4-31-5,2017-05-19,2017-07-07,0.015,0.015,4,31,5,did not get visual on filter,,,evap
777,3-38-1,2017-05-19,2017-07-07,0.02,0.021,3,38,1,,,,evap
789,3-38-2,2017-05-19,2017-07-07,0.027,0.026,3,38,2,,,,evap
801,3-38-3,2017-05-19,2017-07-07,0.024,0.022,3,38,3,,,,evap
813,3-38-4,2017-05-19,2017-07-07,0.032,0.031,3,38,4,,,,evap
825,3-38-5,2017-05-19,2017-07-07,0.019,0.019,3,38,5,,,,evap
778,4-38-1,2017-05-19,2017-07-07,0.025,0.026,4,38,1,,,,evap
790,4-38-2,2017-05-19,2017-07-07,0.058,0.06,4,38,2,,,,evap
802,4-38-3,2017-05-19,2017-07-07,0.06,0.061,4,38,3,,,,evap
814,4-38-4,2017-05-19,2017-07-07,0.039,0.039,4,38,4,,,,evap
826,4-38-5,2017-05-19,2017-07-07,0.021,0.022,4,38,5,,,,evap
827,2001-03-01,2017-05-23,2017-07-14,0.031,0.029,1,3,1,,,,
851,2001-03-02,2017-05-23,2017-07-14,0.037,0.038,1,3,2,,,,
875,2001-03-03,2017-05-23,2017-07-14,0.043,0.042,1,3,3,,,,
899,2001-03-04,2017-05-23,2017-07-14,0.028,0.031,1,3,4,,,,
923,2001-03-05,2017-05-23,2017-07-14,0.036,0.036,1,3,5,,,,
828,2002-03-01,2017-05-23,2017-07-14,0.041,0.04,2,3,1,,,,
852,2002-03-02,2017-05-23,2017-07-14,0.074,0.076,2,3,2,,,,
876,2002-03-03,2017-05-23,2017-07-14,0.07,0.071,2,3,3,,,,
900,2002-03-04,2017-05-23,2017-07-14,0.073,0.073,2,3,4,,,,
924,2002-03-05,2017-05-23,2017-07-14,0.056,0.052,2,3,5,,,,
831,2001-10-01,2017-05-23,2017-07-14,0.019,0.022,1,10,1,,,,
855,2001-10-02,2017-05-23,2017-07-14,0.036,0.034,1,10,2,,,,
879,2001-10-03,2017-05-23,2017-07-14,0.039,0.04,1,10,3,,,,
903,2001-10-04,2017-05-23,2017-07-14,0.044,0.045,1,10,4,,,,
927,2001-10-05,2017-05-23,2017-07-14,0.042,0.044,1,10,5,,,,
832,2002-10-01,2017-05-23,2017-07-14,0.034,0.032,2,10,1,,,,
856,2002-10-02,2017-05-23,2017-07-14,0.024,0.026,2,10,2,,,,
880,2002-10-03,2017-05-23,2017-07-14,0.041,0.041,2,10,3,possibly switched,contaminated,,
904,2002-10-04,2017-05-23,2017-07-14,0.052,0.053,2,10,4,possibly switched,contaminated,,
928,2002-10-05,2017-05-23,2017-07-14,0.022,0.021,2,10,5,,,,
835,1-17-1,2017-05-23,2017-07-14,0.026,0.026,1,17,1,,,,
859,1-17-2,2017-05-23,2017-07-14,0.025,0.025,1,17,2,,,,
883,1-17-3,2017-05-23,2017-07-14,0.035,0.033,1,17,3,,,,
907,1-17-4,2017-05-23,2017-07-14,0.074,0.072,1,17,4,,vis_outlier,,
931,1-17-5,2017-05-23,2017-07-14,0.033,0.032,1,17,5,,,,
836,2-17-1,2017-05-23,2017-07-14,0.019,0.016,2,17,1,,,,
860,2-17-2,2017-05-23,2017-07-14,0.018,0.024,2,17,2,,,,
884,2-17-3,2017-05-23,2017-07-14,0.033,0.031,2,17,3,,,,
908,2-17-4,2017-05-23,2017-07-14,0.033,0.032,2,17,4,,,,
932,2-17-5,2017-05-23,2017-07-14,0.045,0.043,2,17,5,,,,
839,1-24-1,2017-05-23,2017-07-14,0.047,0.047,1,24,1,,,,evap
863,1-24-2,2017-05-23,2017-07-14,0.036,0.034,1,24,2,,,,evap
887,1-24-3,2017-05-23,2017-07-14,0.021,0.038,1,24,3,,,,evap
911,1-24-4,2017-05-23,2017-07-14,0.054,0.056,1,24,4,,,,evap
935,1-24-5,2017-05-23,2017-07-14,0.061,0.06,1,24,5,,,,evap
840,2-24-1,2017-05-23,2017-07-14,0.05,0.047,2,24,1,,,,evap
864,2-24-2,2017-05-23,2017-07-14,0.022,0.022,2,24,2,,,,evap
888,2-24-3,2017-05-23,2017-07-14,0.032,0.034,2,24,3,,,,evap
912,2-24-4,2017-05-23,2017-07-14,0.044,0.039,2,24,4,,,,evap
936,2-24-5,2017-05-23,2017-07-14,0.072,0.069,2,24,5,0.5ml,low_vol,,evap
843,1-31-1,2017-05-23,2017-07-14,0.073,0.072,1,31,1,,,,evap
867,1-31-2,2017-05-23,2017-07-14,0.068,0.064,1,31,2,,,,evap
891,1-31-3,2017-05-23,2017-07-14,0.075,0.073,1,31,3,,,,evap
915,1-31-4,2017-05-23,2017-07-14,0.06,0.061,1,31,4,,,,evap
939,1-31-5,2017-05-23,2017-07-14,0.074,0.073,1,31,5,,,,evap
844,2-31-1,2017-05-23,2017-07-14,0.083,0.083,2,31,1,,vis_outlier,,evap
868,2-31-2,2017-05-23,2017-07-14,0.048,0.051,2,31,2,,,,evap
892,2-31-3,2017-05-23,2017-07-14,0.041,0.044,2,31,3,,,,evap
916,2-31-4,2017-05-23,2017-07-14,0.04,0.043,2,31,4,,,,evap
940,2-31-5,2017-05-23,2017-07-14,0.03,0.031,2,31,5,,,,evap
847,1-38-1,2017-05-23,2017-07-14,0.04,0.038,1,38,1,,,,evap
871,1-38-2,2017-05-23,2017-07-14,0.036,0.035,1,38,2,,,,evap
895,1-38-3,2017-05-23,2017-07-14,0.038,0.034,1,38,3,,,,evap
919,1-38-4,2017-05-23,2017-07-14,0.047,0.044,1,38,4,,,,evap
943,1-38-5,2017-05-23,2017-07-14,0.018,0.027,1,38,5,,,,evap
848,2-38-1,2017-05-23,2017-07-14,0.044,0.043,2,38,1,,,,evap
872,2-38-2,2017-05-23,2017-07-14,0.043,0.04,2,38,2,,,,evap
896,2-38-3,2017-05-23,2017-07-14,0.042,0.039,2,38,3,,,,evap
920,2-38-4,2017-05-23,2017-07-14,0.033,0.031,2,38,4,,,,evap
944,2-38-5,2017-05-23,2017-07-14,0.019,0.026,2,38,5,,,,evap
829,2003-03-01,2017-05-26,2017-07-14,0.077,0.074,3,3,1,,,,
853,2003-03-02,2017-05-26,2017-07-14,0.068,0.064,3,3,2,,,,
877,2003-03-03,2017-05-26,2017-07-14,0.077,0.073,3,3,3,,,,
901,2003-03-04,2017-05-26,2017-07-14,0.12,0.119,3,3,4,,,,
925,2003-03-05,2017-05-26,2017-07-14,0.086,0.083,3,3,5,,vis_outlier,,
830,2004-03-01,2017-05-26,2017-07-14,0.033,0.032,4,3,1,,,,
854,2004-03-02,2017-05-26,2017-07-14,0.034,0.039,4,3,2,,,,
878,2004-03-03,2017-05-26,2017-07-14,NA,NA,4,3,3,,,,
902,2004-03-04,2017-05-26,2017-07-14,0.027,0.022,4,3,4,,,,
926,2004-03-05,2017-05-26,2017-07-14,0.051,0.051,4,3,5,,,,
833,2003-10-01,2017-05-26,2017-07-14,0.042,0.044,3,10,1,,,,
857,2003-10-02,2017-05-26,2017-07-14,0.082,0.079,3,10,2,,,,
881,2003-10-03,2017-05-26,2017-07-14,0.041,0.037,3,10,3,,,,
905,2003-10-04,2017-05-26,2017-07-14,0.032,0.022,3,10,4,,,,
929,2003-10-05,2017-05-26,2017-07-14,0.015,0.014,3,10,5,,,,
834,2004-10-01,2017-05-26,2017-07-14,0.03,0.03,4,10,1,,,,
858,2004-10-02,2017-05-26,2017-07-14,0.026,0.024,4,10,2,,,,
882,2004-10-03,2017-05-26,2017-07-14,0.037,0.039,4,10,3,,,,
906,2004-10-04,2017-05-26,2017-07-14,0.036,0.032,4,10,4,,,,
930,2004-10-05,2017-05-26,2017-07-14,0.032,0.032,4,10,5,,,,
837,3-17-1,2017-05-26,2017-07-14,0.029,0.031,3,17,1,,,,
861,3-17-2,2017-05-26,2017-07-14,0.042,0.042,3,17,2,,,,
885,3-17-3,2017-05-26,2017-07-14,0.025,0.025,3,17,3,,,,
909,3-17-4,2017-05-26,2017-07-14,0.053,0.048,3,17,4,,,,
933,3-17-5,2017-05-26,2017-07-14,0.052,0.046,3,17,5,,,,
838,4-17-1,2017-05-26,2017-07-14,0.032,0.029,4,17,1,,,,
862,4-17-2,2017-05-26,2017-07-14,0.027,0.025,4,17,2,,,,
886,4-17-3,2017-05-26,2017-07-14,0.023,0.021,4,17,3,,,,
910,4-17-4,2017-05-26,2017-07-14,0.034,0.03,4,17,4,,,,
934,4-17-5,2017-05-26,2017-07-14,0.031,0.033,4,17,5,,,,
841,3-24-1,2017-05-26,2017-07-14,0.029,0.022,3,24,1,,,,evap
865,3-24-2,2017-05-26,2017-07-14,0.022,0.027,3,24,2,,,,evap
889,3-24-3,2017-05-26,2017-07-14,0.032,0.038,3,24,3,,,,evap
913,3-24-4,2017-05-26,2017-07-14,0.027,0.027,3,24,4,,,,evap
937,3-24-5,2017-05-26,2017-07-14,0.039,0.037,3,24,5,,,,evap
842,4-24-1,2017-05-26,2017-07-14,0.026,0.026,4,24,1,,,,evap
866,4-24-2,2017-05-26,2017-07-14,0.024,0.024,4,24,2,,,,evap
890,4-24-3,2017-05-26,2017-07-14,0.038,0.036,4,24,3,,,,evap
914,4-24-4,2017-05-26,2017-07-14,0.027,0.027,4,24,4,,,,evap
938,4-24-5,2017-05-26,2017-07-14,0.035,0.028,4,24,5,,,,evap
845,3-31-1,2017-05-26,2017-07-14,0.049,0.047,3,31,1,,,,evap
869,3-31-2,2017-05-26,2017-07-14,0.062,0.061,3,31,2,,,,evap
893,3-31-3,2017-05-26,2017-07-14,0.049,0.054,3,31,3,,,,evap
917,3-31-4,2017-05-26,2017-07-14,0.041,0.044,3,31,4,,,,evap
941,3-31-5,2017-05-26,2017-07-14,0.047,0.046,3,31,5,,,,evap
846,4-31-1,2017-05-26,2017-07-14,0.049,0.049,4,31,1,,,,evap
870,4-31-2,2017-05-26,2017-07-14,0.051,0.049,4,31,2,,,,evap
894,4-31-3,2017-05-26,2017-07-14,0.036,0.039,4,31,3,0.5ml,low_vol,,evap
918,4-31-4,2017-05-26,2017-07-14,0.033,0.031,4,31,4,,,,evap
942,4-31-5,2017-05-26,2017-07-14,0.031,0.031,4,31,5,,,,evap
849,3-38-1,2017-05-26,2017-07-14,0.034,0.032,3,38,1,,,,evap
873,3-38-2,2017-05-26,2017-07-14,0.069,0.067,3,38,2,,,,evap
897,3-38-3,2017-05-26,2017-07-14,0.042,0.038,3,38,3,,,,evap
921,3-38-4,2017-05-26,2017-07-14,0.056,0.058,3,38,4,,,,evap
945,3-38-5,2017-05-26,2017-07-14,0.033,0.032,3,38,5,,,,evap
850,4-38-1,2017-05-26,2017-07-14,0.033,0.034,4,38,1,,,,evap
874,4-38-2,2017-05-26,2017-07-14,0.068,0.067,4,38,2,,,,evap
898,4-38-3,2017-05-26,2017-07-14,0.065,0.058,4,38,3,,,,evap
922,4-38-4,2017-05-26,2017-07-14,0.037,0.037,4,38,4,,,,evap
946,4-38-5,2017-05-26,2017-07-14,0.06,0.06,4,38,5,,,,evap
985,2001-03-01,2017-05-30,2017-07-12,0.064,0.06,1,3,1,,,,
986,2001-03-02,2017-05-30,2017-07-12,0.023,0.022,1,3,2,,,,
987,2001-03-03,2017-05-30,2017-07-12,0.023,0.022,1,3,3,,,,
988,2001-03-04,2017-05-30,2017-07-12,0.035,0.033,1,3,4,480ul,low_vol,,
995,2001-03-04,2017-05-30,2017-07-12,0.036,0.036,1,3,4,500ul,low_vol,,
996,2001-03-05,2017-05-30,2017-07-12,0.047,0.045,1,3,5,700ul,low_vol,,
990,2004-03-02,2017-05-30,2017-07-12,0.029,0.033,4,3,2,650ul,low_vol,,
989,2004-03-03,2017-05-30,2017-07-12,0.037,0.035,4,3,3,600ul,low_vol,,
991,2002-10-01,2017-05-30,2017-07-12,0.032,0.035,2,10,1,700ul,low_vol,,
992,2002-10-02,2017-05-30,2017-07-12,0.02,0.02,2,10,2,700ul,low_vol,,
984,2002-10-03,2017-05-30,2017-07-12,0.03,0.03,2,10,3,,,,
994,2002-10-05,2017-05-30,2017-07-12,0.023,0.022,2,10,5,700ul,low_vol,,
971,2004-03-01,2017-06-02,2017-07-12,0.051,0.048,4,3,1,,,,
972,2004-03-02,2017-06-02,2017-07-12,0.03,0.031,4,3,2,,,,
973,2004-03-04,2017-06-02,2017-07-12,0.073,0.064,4,3,4,,,,
974,2004-03-05,2017-06-02,2017-07-12,0.048,0.05,4,3,5,,,,
966,3-17-1,2017-06-02,2017-07-12,0.032,0.032,3,17,1,,,,
967,3-17-2,2017-06-02,2017-07-12,0.033,0.032,3,17,2,,,,
968,3-17-3,2017-06-02,2017-07-12,0.029,0.029,3,17,3,,,,
969,3-17-4,2017-06-02,2017-07-12,0.03,0.032,3,17,4,,,,
970,3-17-5,2017-06-02,2017-07-12,0.034,0.034,3,17,5,,,,
962,2001-03-01,2017-06-06,2017-07-12,0.052,0.054,1,3,1,,,,
963,2001-03-02,2017-06-06,2017-07-12,0.038,0.036,1,3,2,,,,
964,2001-03-03,2017-06-06,2017-07-12,0.038,0.04,1,3,3,,,,
965,2001-03-05,2017-06-06,2017-07-12,0.025,0.027,1,3,5,,,,
958,2002-10-01,2017-06-06,2017-07-12,0.065,0.065,2,10,1,,,,
959,2002-10-02,2017-06-06,2017-07-12,0.033,0.035,2,10,2,,,,
960,2002-10-03,2017-06-06,2017-07-12,0.046,0.046,2,10,3,,,,
993,2002-10-04,2017-06-06,2017-07-12,NA,NA,2,10,4,missing,,,
961,2002-10-05,2017-06-06,2017-07-12,0.041,0.042,2,10,5,,,,
975,2004-03-01,2017-06-08,2017-07-12,0.103,0.103,4,3,1,,,,
976,2004-03-03,2017-06-08,2017-07-12,0.058,0.058,4,3,3,,,,
977,2004-03-04,2017-06-08,2017-07-12,0.111,0.104,4,3,4,,,,
978,2004-03-05,2017-06-08,2017-07-12,0.02,0.027,4,3,5,,,,
979,2001-03-01,2017-06-13,2017-07-12,0.036,0.034,1,3,1,,,,
980,2001-03-02,2017-06-13,2017-07-12,0.033,0.034,1,3,2,,,,
981,2001-03-03,2017-06-13,2017-07-12,0.062,0.064,1,3,3,,,,
982,2001-03-04,2017-06-13,2017-07-12,0.046,0.044,1,3,4,,,,
983,2001-03-05,2017-06-13,2017-07-12,0.05,0.047,1,3,5,,,,
947,2001-03-01,2017-06-15,2017-07-14,0.025,0.02,1,3,1,,,,
948,2001-03-02,2017-06-15,2017-07-14,0.02,0.019,1,3,2,,,,
949,2001-03-03,2017-06-15,2017-07-14,0.023,0.022,1,3,3,,,,
950,2001-03-04,2017-06-15,2017-07-14,0.027,0.031,1,3,4,,,,
951,2001-03-05,2017-06-15,2017-07-14,0.038,0.036,1,3,5,,,,
952,2001-03-01,2017-06-15,2017-07-14,0.023,0.022,4,3,1,,,,
953,2002-03-02,2017-06-15,2017-07-14,0.029,0.029,4,3,2,,,,
954,2002-03-03,2017-06-15,2017-07-14,0.025,0.02,4,3,3,,,,
955,2002-03-04,2017-06-15,2017-07-14,0.025,0.022,4,3,4,,,,
956,2002-03-05,2017-06-15,2017-07-14,0.022,0.021,4,3,5,,,,
152,,,,,,,,,,,,
281,,,,,,,,,,,,
402,,,,,,,,,,,,
523,,,,,,,,,,,,
644,,,,,,,,,,,,
705,,,,,,,,,,,,
766,,,,,,,,,,,,
91,,,,,,,,,,,,
957,,,,,,,,,,,,
273,,,,,,,,,,,,
274,,,,,,,,,,,,
275,,,,,,,,,,,,
276,,,,,,,,,,,,
277,,,,,,,,,,,,
278,,,,,,,,,,,,
279,,,,,,,,,,,,
280,,,,,,,,,,,,
584,,,,,,,,,,,,
585,,,,,,,,,,,,
586,,,,,,,,,,,,
587,,,,,,,,,,,,
588,,,,,,,,,,,,
589,,,,,,,,,,,,
590,,,,,,,,,,,,
591,,,,,,,,,,,,
592,,,,,,,,,,,,
593,,,,,,,,,,,,
594,,,,,,,,,,,,
595,,,,,,,,,,,,
596,,,,,,,,,,,,
597,,,,,,,,,,,,
598,,,,,,,,,,,,
599,,,,,,,,,,,,
600,,,,,,,,,,,,
601,,,,,,,,,,,,
602,,,,,,,,,,,,
603,,,,,,,,,,,,
604,,,,,,,,,,,,
605,,,,,,,,,,,,
606,,,,,,,,,,,,
607,,,,,,,,,,,,
608,,,,,,,,,,,,
609,,,,,,,,,,,,
610,,,,,,,,,,,,
611,,,,,,,,,,,,
612,,,,,,,,,,,,
613,,,,,,,,,,,,
614,,,,,,,,,,,,
615,,,,,,,,,,,,
616,,,,,,,,,,,,
617,,,,,,,,,,,,
618,,,,,,,,,,,,
619,,,,,,,,,,,,
620,,,,,,,,,,,,
621,,,,,,,,,,,,
622,,,,,,,,,,,,
623,,,,,,,,,,,,
624,,,,,,,,,,,,
625,,,,,,,,,,,,
626,,,,,,,,,,,,
627,,,,,,,,,,,,
628,,,,,,,,,,,,
629,,,,,,,,,,,,
630,,,,,,,,,,,,
631,,,,,,,,,,,,
632,,,,,,,,,,,,
633,,,,,,,,,,,,
634,,,,,,,,,,,,
635,,,,,,,,,,,,
636,,,,,,,,,,,,
637,,,,,,,,,,,,
638,,,,,,,,,,,,
639,,,,,,,,,,,,
640,,,,,,,,,,,,
641,,,,,,,,,,,,
642,,,,,,,,,,,,
643,,,,,,,,,,,,
997,,,,,,,,,,,,
998,,,,,,,,,,,,
999,,,,,,,,,,,,
1000,,,,,,,,,,,,
1001,,,,,,,,,,,,
1002,,,,,,,,,,,,
1003,,,,,,,,,,,,
1004,,,,,,,,,,,,
1005,,,,,,,,,,,,
1006,,,,,,,,,,,,
1007,,,,,,,,,,,,
1008,,,,,,,,,,,,
1009,,,,,,,,,,,,
1010,,,,,,,,,,,,
1011,,,,,,,,,,,,
1012,,,,,,,,,,,,
1013,,,,,,,,,,,,
1014,,,,,,,,,,,,
1015,,,,,,,,,,,,
